TABLA;INDICE;TYPE_DESC;USER_SEEKS;USER_SCANS;USER_LOOKUPS;USER_UPDATES;USED-PAGES
Documento_Exportar;;HEAP;;;;;0.000000
Documento_Fuentes;;HEAP;;;;;0.000000
Documento_Principal;;HEAP;;;;;0.000000
Documento_Relaciones;;HEAP;;;;;0.000000
Documento_Texto;;HEAP;;;;;0.000000
ErroresMigracionNet;;HEAP;;;;;0.000000
Escalafones;;HEAP;0;1;0;1;0.015625
Establecimiento;;HEAP;0;4;0;3;0.078125
Estado_LME;;HEAP;;;;;0.023437
Feriados;;HEAP;;;;;0.359375
Ficha_EducacionHrs;;HEAP;0;5;0;4;2.312500
FichaDetalle_AEduca;;HEAP;0;0;1;0;0.000000
FichaEducacion;;HEAP;0;4;0;2;0.984375
FichaFuncionario;;HEAP;0;12;3842;5;1.843750
FichaLeyesPrevisional;;HEAP;0;3;0;2;0.507812
FichaPersonal;;HEAP;0;0;0;1;1.125000
Formato_CargaDescuento;;HEAP;;;;;0.023437
FormatoCargaFamiliar;;HEAP;;;;;0.000000
FormatoCargaLicencia;;HEAP;;;;;0.015625
FuncionariosDocentesConFeriados;;HEAP;;;;;0.015625
FuncionarioSuplementaria;;HEAP;0;1;0;0;36.664062
FuncionarioSuplementaria_AEduca;;HEAP;;;;;0.000000
GrupoFamiliar;;HEAP;;;;;0.734375
Haberes;;HEAP;0;0;7;0;0.046875
Haberes_Finiquito;;HEAP;0;0;466;0;0.039062
HaberesINE;;HEAP;0;0;471;0;0.031250
Historial_Contratos;;HEAP;0;0;4298;1641;29.054687
Historial_Egreso;;HEAP;;;;;0.000000
Historial_Egreso1;;HEAP;;;;;0.007812
HistorialUnidadE;;HEAP;;;;;0.000000
HistoricoAfp;;HEAP;0;0;19;19;0.375000
HistoricoBienios;;HEAP;;;;;0.492187
HistoricoCambioEstablecimiento;;HEAP;;;;;0.960937
HistoricoCargasRetroactivas;;HEAP;0;1;0;10;0.507812
HistoricoCheques;;HEAP;;;;;0.023437
HistoricoConstantes;;HEAP;0;0;46;46;0.523437
HistoricoCuentaBanco;;HEAP;0;0;0;4427;26.078125
HistoricoDctosNoEfectuados;;HEAP;;;;;0.000000
HistoricoDetalleDesDificil;;HEAP;;;;;0.000000
HistoricoFicha_EducacionHrs;;HEAP;0;1;1;9248;341.945312
HistoricoFichaDetalle_AEduca;;HEAP;;;;;0.000000
HistoricoFichaEducacion;;HEAP;0;1;1;6859;146.562500
HistoricoFichaFuncionario;;HEAP;0;0;0;6858;247.664062
HistoricoFichaLeyesPrevisional;;HEAP;0;0;0;4258;67.031250
HistoricoGrupoFamiliar;;HEAP;;;;;0.000000
HistoricoIsapres;;HEAP;0;0;14;14;0.203125
HistoricoLiquidacion;;HEAP;0;16;0;1557;97.320312
HistoricoLiquidacionHrs;;HEAP;0;5;0;2052;81.679687
HistoricoLiquidacionHrs_AEduca;;HEAP;0;3;0;3;0.000000
HistoricoMovDctos;;HEAP;0;0;0;8;0.390625
HistoricoMovLiquidacion;;HEAP;0;0;0;5346;86.312500
HistoricoMovPlanillaSuple;;HEAP;;;;;0.000000
HistoricoMutual;;HEAP;0;0;0;1;0.039062
HistoricoNivelEducativo;;HEAP;;;;;0.015625
HistoricoParametrosGenerales;;HEAP;0;4;1;5;0.132812
HistoricoPlanillaSuplementaria;;HEAP;;;;;0.000000
ImportaCargasFamiliares;;HEAP;;;;;0.000000
ImportaCargasFamiliares_Aviso;;HEAP;;;;;0.000000
Impuesto;;HEAP;;;;;0.015625
Indices;;HEAP;0;0;2;0;0.015625
Ingreso_De_Datos;;HEAP;;;;;45.437500
InstitucionesAVP;;HEAP;;;;;0.015625
Isapres;;HEAP;0;0;1;1;0.023437
LicenciaMedica;;HEAP;0;2;0;0;18.257812
LicenciaMedica1;;HEAP;;;;;0.000000
LicenciaMedicaLME_NoCargada;;HEAP;;;;;0.000000
LicenciaMedicaSanna;;HEAP;;;;;0.015625
Liquidacion;;HEAP;0;5;0;5;0.203125
LiquidacionHrs;;HEAP;0;4;0;4;0.562500
LiquidacionHrs_AEduca;;HEAP;0;3;0;3;0.000000
LRE_Aportes;;HEAP;0;0;6;0;0.015625
LRE_CausalesTerminoContrato;;HEAP;;;;;0.000000
LRE_Descuentos;;HEAP;0;0;10;0;0.015625
LRE_Esquema;;HEAP;0;0;147;148;0.023437
LRE_Haberes;;HEAP;0;0;28;2;0.023437
LRE_Totales;;HEAP;0;0;11;2;0.015625
MacroCalculo;;HEAP;0;0;10;0;0.015625
MaestroRentas;;HEAP;;;;;0.000000
ModoDctos;;HEAP;;;;;0.015625
Movimiento_Finiquito;;HEAP;;;;;0.007812
MovimientoAnexo_Finiquito;;HEAP;;;;;0.000000
MovimientoHaberDctos;;HEAP;0;8;0;2;0.609375
MovimientoHaberDctos_Auxiliar;;HEAP;;;;;0.000000
MovimientoLiquidacion;;HEAP;0;1;0;1;5.648437
MovimientoPlanillaSuple;;HEAP;0;0;0;1;29.226562
MovPlanillaHaberDctos;;HEAP;0;2;0;3;0.015625
Municipalidad;;HEAP;0;3;2;3;0.015625
Mutualidad;;HEAP;;;;;0.015625
NivelEducativo;;HEAP;;;;;0.015625
NoRecepcionLME;;HEAP;;;;;0.015625
OrdenTrabajo;;HEAP;;;;;9.601562
Otras_InstitucionesPrev;;HEAP;0;0;5;0;0.015625
PagosLicenciasMedicas;;HEAP;;;;;0.000000
Parametros_FormatoCheque;;HEAP;;;;;0.015625
ParametrosGenerales;;HEAP;0;9;7;9;0.015625
Permiso_Defuncion;;HEAP;;;;;0.015625
Permisos_Varios;;HEAP;;;;;0.109375
PermisosAdministrativos;;HEAP;;;;;0.710937
PermisosAdminSinRemuneracion;;HEAP;;;;;0.031250
PermisosLegales;;HEAP;;;;;2.148437
PlandeCuenta;;HEAP;;;;;0.218750
PlanillaSuplementaria;;HEAP;0;12;1;12;108.648437
PlanillaSuplementariaHrs;;HEAP;0;7;1;7;79.632812
PlantaMaestra;;HEAP;;;;;0.000000
Postulantes_DAEM;;HEAP;;;;;0.015625
PostulantesPorRamos_DAEM;;HEAP;;;;;0.015625
Previred;;HEAP;0;0;1;0;607.250000
Proceso_Firma_Liquidaciones;;HEAP;;;;;0.000000
ProcesosPlanillaSuplementaria;;HEAP;0;1;2;3;0.218750
ProfesionalesMedicos;;HEAP;;;;;0.570312
Proyectos;;HEAP;0;0;1;0;0.015625
Recaudacion_Licencia;;HEAP;;;;;10.859375
REN_Clasificador_Establecimientos_Tra;;HEAP;;;;;0.000000
REN_Clasificador_Tipo_Horas_Tra;;HEAP;;;;;0.000000
REN_Clasificador_Tra;;HEAP;;;;;0.000000
REN_Columnas_Tra;;HEAP;;;;;0.000000
REN_FuncionCargo_Tra;;HEAP;;;;;0.000000
REN_Movimientos_Descuentos_PS_Tra;;HEAP;;;;;0.000000
REN_Movimientos_Descuentos_Tra;;HEAP;;;;;0.000000
REN_Movimientos_Haberes_PS_Tra;;HEAP;;;;;0.000000
REN_Movimientos_Haberes_Tra;;HEAP;;;;;0.000000
REN_Parametros_Tra;;HEAP;;;;;0.000000
REN_Transacciones;;HEAP;;;;;0.000000
RendicionW2W;;HEAP;;;;;0.000000
ResultadoMigracionNet;;HEAP;;;;;0.000000
RetencionJudicial;;HEAP;0;27;0;2;0.031250
Retroactivo;;HEAP;;;;;0.000000
Sexo;;HEAP;;;;;0.015625
Sindicatos;;HEAP;;;;;0.000000
Suplencias;;HEAP;;;;;0.000000
Tabla_OperadoresLME;;HEAP;;;;;0.015625
TablaBienestar;;HEAP;0;0;2;0;0.015625
TablaControl;;HEAP;0;0;0;2;0.046875
TablaSindicato;;HEAP;0;0;2;0;0.015625
Tbl_Paridad;;HEAP;;;;;0.000000
TemporalDesDificil;;HEAP;;;;;0.000000
Tipo;;HEAP;;;;;0.015625
Tipo_Finiquito;;HEAP;0;1;0;2;0.015625
Tipo_Horas;;HEAP;0;2;0;1;0.015625
Tipo_Horas_AEduca;;HEAP;0;1;0;0;0.015625
Tipo_Horas_Proyecto;;HEAP;;;;;0.000000
Tipo_Permiso;;HEAP;;;;;0.015625
TipoEstadoLicenciaMedica;;HEAP;;;;;0.015625
TipoEstadoPagoLicenciaMedica;;HEAP;;;;;0.015625
TipoInstitucionesAVP;;HEAP;0;1;0;0;0.015625
TiposDeAccidentes;;HEAP;;;;;0.015625
TiposLicenciasMedicas;;HEAP;;;;;0.015625
Totales_Finiquito;;HEAP;;;;;0.000000
Totales_PlanillaRemuneraciones;;HEAP;0;0;0;1;3.039062
TramosAsigFamiliar;;HEAP;0;4;0;0;0.015625
Transacciones_Educacion;;HEAP;0;0;0;11;1466.125000
Transfer_W2W;;HEAP;;;;;0.000000
Transparencia;;HEAP;;;;;0.265625
Transparencia_Paso;;HEAP;;;;;0.164062
UnidadEducativa;;HEAP;;;;;0.000000
Utm_Ipc;;HEAP;;;;;0.000000
ValidaOpcion;;HEAP;0;16;0;6;0.031250
VerificaTablas;;HEAP;0;1;0;1;0.015625
